"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QETHW5G2","book","2018","Hartnell, Jack; Wellcome Collection","Medieval Bodies: life, death, and art in the Middle Ages","","978-1-78125-679-4","","","","Dripping with blood and gold, fetishized and tortured, gateway to earthly delights and point of contact with the divine, forcibly divided and powerful even beyond death, there was no territory more contested than the body in the medieval world. In Medieval Bodies, art historian Jack Hartnell uncovers the complex and fascinating ways in which the people of the Middle Ages thought about, explored and experienced their physical selves. In paintings and reliquaries that celebrated the - sometimes bizarre - martyrdoms of saints, the sacred dimension of the physical left its mark on their environment. In literature and politics, hearts and heads became powerful metaphors that shaped governance and society in ways that are still visible today. And doctors and natural philosophers were at the centre of a collision between centuries of sophisticated medical knowledge, and an ignorance of physiology as profound as its results were gruesome. Like a medieval pageant, this striking and unusual history brings together medicine, art, poetry, music, politics, cultural and social history and philosophy to reveal what life was really like for the men and women who lived and died in the Middle Ages","2018","2025-03-24 17:52:33","2025-03-24 17:52:33","","","345","","","","","Medieval Bodies","","","","","Profile Books : Wellcome Collection","London","","","","","","Library Catalog (Blacklight)","GT495 .H37 2018","OCLC: 1019639579","","","https://catalog.libraries.psu.edu/catalog/25338936","physical","History; Social aspects; Social aspects History; Civilization, Medieval; History, Medieval; Human body; Human Body; Medicine in the Arts; Medicine, Medieval; Medieval","","","","Wellcome Collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ASMFSMU","book","1964","Jacob, P. L.","Science and literature in the Middle Ages and the Renaissance","","","","","","","1964","2025-03-24 18:48:27","2025-03-24 18:48:36","","","552","","","","","","","","","","F. Ungar Pub. Co","New York","","","","","","Library Catalog (Blacklight)","CB351 .L22 1964","","","","https://catalog.libraries.psu.edu/catalog/807819","InterWeb","History; Science; Middle Ages; Art, Medieval; Literature, Medieval; Renaissance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBXZ8N33","book","1953","Southern, R. W.","The making of the Middle Ages","","","","","","","1953","2025-03-24 18:45:59","2025-03-24 18:47:20","","","280","","","","","","","","","","Yale Univ. Press","New Haven ; London","","","","","","Library Catalog (Blacklight)","CB351 .S6 1953a","","","","https://catalog.libraries.psu.edu/catalog/807842","InterWeb","Middle Ages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4B69WFQL","book","1992","Ross, Cynthia; Buhler, Cheryl; Ross, Cynthia","Medieval times","","978-1-55734-291-1","","","","","1992","2025-03-24 18:45:52","2025-03-24 18:47:07","","","80","","","","","","","","","","Teacher Created Materials, Inc","Huntington Beach, CA","","","","","","Library Catalog (Blacklight)","","OCLC: 37955543","","","https://catalog.libraries.psu.edu/catalog/2428347","InterWeb","Middle Ages; Language experience approach; Language experience approach in education; Reading; Study and teaching (Primary) Activity programs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6CUTHGW","book","187","Jacob, P. L.","Science and literature in the middle ages and at the period of the renaissance","","","","","","","0187","2025-03-24 18:45:32","2025-03-24 18:46:55","","","552","","","","","","","","","","Bickers and son","London","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/3737","InterWeb","Middle Ages; Art, Medieval; Science, Medieval; Literature, Medieval; Renaissance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24DDYZZL","book","1991","Borst, Arno","Medieval worlds: barbarians, heretics and artists in the Middle Ages","","978-0-7456-0735-1","","","","","1991","2025-03-24 18:45:11","2025-03-24 18:46:33","","","273","","","","","Medieval worlds","","","","","Polity Press","Cambridge, UK","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/1628504","InterWeb","History; Europe; Civilization, Medieval; 476-1492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7VDCUQL","book","1970","Bishop, Morris","The Middle Ages","","","","","","","1970","2025-03-24 18:45:02","2025-03-24 18:46:25","","","386","","","","","","","","","","American Heritage Press","New York","","","","","","Library Catalog (Blacklight)","CB351 .B48 1970","","","","https://catalog.libraries.psu.edu/catalog/641626","InterWeb","Civilization, Medieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZZQ63HX","webpage","","Williams, Aubrey","Library Guides: History : Medieval: Articles","","","","","https://guides.lib.uw.edu/research/history-medieval/articles","A research guide to primary and secondary sources for medieval history in Europe and the Mediterranean basin.","","2025-03-26 02:27:31","2025-03-26 02:32:06","2025-03-26 02:27:31","","","","","","","Library Guides","","","","","","","en","Copyright University of Washington Libraries 2025","","","","","","","","/Users/eeb4/Zotero/storage/LDXF6BGI/articles.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9A73X4N","webpage","","Virginia A. Cole, Ph D.","LibGuides: Medieval Studies: A guide to library research at Cornell: Published Primary Sources","","","","","https://guides.library.cornell.edu/medieval/primary","LibGuides: Medieval Studies: A guide to library research at Cornell: Published Primary Sources","","2025-03-26 02:28:41","2025-03-26 02:32:00","2025-03-26 02:28:41","","","","","","","LibGuides","","","","","","","en","Copyright Cornell University 2025","","","","","","","","/Users/eeb4/Zotero/storage/5N5UIICR/primary.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BGIMHA7","webpage","","","Middle Ages | Definition, Dates, Characteristics, & Facts | Britannica","","","","","https://www.britannica.com/event/Middle-Ages","","","2025-03-26 02:31:28","2025-03-26 02:32:12","2025-03-26 02:31:28","","","","","","","","","","","","","","","","","","","","","","","/Users/eeb4/Zotero/storage/D9FX6QKZ/Middle-Ages.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDLFKZKD","webpage","2010","","Middle Ages - Definition, Timeline & Facts","HISTORY","","","","https://www.history.com/articles/middle-ages","People use the phrase “Middle Ages” to describe Europe between the fall of Rome in 476 CE and the beginning of the Renaissance in the 14th century.","2010-04-22","2025-03-26 02:31:43","2025-03-26 02:32:19","2025-03-26 02:31:43","","","","","","","","","","","","","","en","","","","","","","Section: Encyclopedic","","","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
